A0101,1.0,0.8424074861760953,0.9126136006297163,0.9345238095238095,2209,449,1752,292,0.8310759969902182,0.8832467013194722,0.6837189753065571
A0201,1.0,0.8863751051303617,0.942846199612272,0.989572822065254,8229,1141,2310,210,0.8782283884738528,0.9751155350159971,0.7157508757857676
A0203,1.0,0.9305841924398626,0.995093739310419,0.9931318681318682,1228,199,1480,3,0.8605466012613875,0.9975629569455727,0.8687212866762047
A0206,1.0,0.936838124054463,0.9760184505619462,0.9969742813918305,1916,122,561,45,0.9401373895976447,0.9770525242223356,0.8314706880608483
A0207,1.0,0.9834162520729685,0.9625136154168412,1.0,2358,11,14,29,0.9953566905867455,0.9878508588186008,0.4193163555209919
A0301,1.0,0.9257724635965432,0.9515529579168129,0.9853219696969697,6103,452,1717,175,0.9310450038138826,0.9721248805352023,0.8002682656188123
A1101,1.0,0.8872180451127819,0.9840848328089833,0.9899777282850779,1878,403,1308,2,0.8233231039017974,0.9989361702127659,0.79206092437908
A2301,1.0,0.92901346923917,0.983299860712559,0.9985443959243085,1730,171,822,24,0.9100473435034192,0.9863169897377423,0.8472217488626651
A2402,1.0,0.8824292758889177,0.9078944584826938,0.9844398340248963,2842,292,558,161,0.9068283343969368,0.9463869463869464,0.6416347562111812
A2601,1.0,0.9025500910746812,0.9737766157376573,0.9478155339805825,1072,281,1901,40,0.7923133776792314,0.9640287769784173,0.8028482462399634
A2902,1.0,0.8586269196025293,0.9201343246795926,0.9747292418772563,1368,249,533,64,0.8460111317254174,0.9553072625698324,0.6859605579837654
A3101,1.0,0.8978628920344157,0.953076528286771,0.9889012208657048,2317,156,918,212,0.9369187221997574,0.9161724001581653,0.7600377322840225
A3201,1.0,0.8735632183908046,0.8486336369695624,0.9744897959183674,605,61,79,38,0.9084084084084084,0.9409020217729394,0.5429905331945251
A6801,1.0,0.9370730697578141,0.9384075355732941,0.9966887417218543,4150,117,377,187,0.9725802671666276,0.9568826377680424,0.6793823446707047
A6802,1.0,0.863302752293578,0.9400113186191285,0.9357798165137615,1031,265,851,33,0.7955246913580247,0.9689849624060151,0.7447427427604865
B0702,1.0,0.9010191260644981,0.9337673554688661,0.9843662758235623,5440,631,1014,78,0.896063251523637,0.9858644436389996,0.7047405021437269
B0801,1.0,0.9244973327862126,0.9635656138045883,0.9868744872846595,3388,305,1118,63,0.917411318711075,0.9817444219066938,0.8143046953980208
B1402,1.0,0.9752252252252253,0.986361852433281,1.0,391,10,42,1,0.9750623441396509,0.9974489795918368,0.8754077535409095
