A0101,0.9370783899836522,0.4385254634562114,0.845925317655833,-1,410,17,1648,2618,0.9601873536299765,0.13540290620871862,0.2082762181601288
A0201,0.9367139834096433,0.9460713984302472,0.9790669898158875,-1,8716,291,2494,348,0.9676917952703453,0.9616063548102383,0.8511597102607031
A0203,0.935371498462918,0.9646291208791209,0.9935609333457106,-1,1553,61,1256,42,0.9622057001239157,0.9736677115987461,0.928598435431266
A0206,0.9361166285867264,0.81859410430839,0.9720548565577806,-1,1587,15,579,465,0.9906367041198502,0.7733918128654971,0.6386793244972301
A0207,0.9352881520317473,0.9197994987468672,0.9627514668901929,-1,2195,1,7,191,0.9995446265938069,0.9199497066219614,0.1665601501010534
A0301,0.9368919900772781,0.8548234178715335,0.9635973163055,-1,5354,107,1859,1118,0.9804065189525728,0.8272558714462299,0.6837067048535728
A1101,0.9343839788048001,0.9726943438283644,0.9935103250575956,-1,1397,69,2094,29,0.9529331514324693,0.979663394109397,0.9435086963460118
A2301,0.9356807130549316,0.874408445576993,0.982610639845695,-1,1344,18,1058,327,0.986784140969163,0.8043087971274686,0.768910327887309
A2402,0.9359436815962192,0.8647678314983246,0.9732248751296146,-1,2458,27,1155,538,0.9891348088531187,0.8204272363150867,0.7317533600750487
A2601,0.9353144115270909,0.8327261687917425,0.9477257678789098,-1,675,63,2068,488,0.9146341463414634,0.5803955288048152,0.6313818514798248
A2902,0.9364566781942237,0.7411924119241192,0.8530996258116043,-1,1026,113,615,460,0.9007901668129938,0.6904441453566622,0.5030890628790107
A3101,0.9357786555906977,0.5744798890429959,0.9078557102385005,-1,272,18,1799,1516,0.9379310344827586,0.15212527964205816,0.2614433435378165
A3201,0.9361120587928721,0.5044699872286079,0.9205246913580246,-1,255,4,140,384,0.9845559845559846,0.39906103286384975,0.3057183539120881
A6801,0.9348453429420716,0.7157938315048644,0.9355874464935645,-1,2689,53,769,1320,0.9806710430342815,0.6707408331254677,0.4598463404372159
A6802,0.9370547977093906,0.6814645308924485,0.9409375980194001,-1,432,1,1057,695,0.9976905311778291,0.38331854480922806,0.4793816722281157
